Protein,Log2Intensity,Run,Condition,BioReplicate,Intensity
sp|P31377|STX8_YEAST,23.2455018,JD_06232014_sample1-A.raw,Condition1,1,9944737.089
sp|P31377|STX8_YEAST,23.06759887,JD_06232014_sample2_A.raw,Condition2,2,8791018.375
sp|P31377|STX8_YEAST,23.1346458,JD_06232014_sample2_B.raw,Condition2,2,9209208.907
sp|P31377|STX8_YEAST,23.15788305,JD_06232014_sample2_C.raw,Condition2,2,9358741.122
sp|P31377|STX8_YEAST,23.30378271,JD_06232014_sample3_A.raw,Condition3,3,10354702.08
sp|P31377|STX8_YEAST,23.20718051,JD_06232014_sample3_B.raw,Condition3,3,9684059.481
sp|P31377|STX8_YEAST,23.03525057,JD_06232014_sample3_C.raw,Condition3,3,8596098.419
sp|P31377|STX8_YEAST,22.84837505,JD_06232014_sample4_B.raw,Condition4,4,7551726.317
sp|P31377|STX8_YEAST,22.81719036,JD_06232014_sample4_C.raw,Condition4,4,7390242.938
sp|P31377|STX8_YEAST,22.20695338,JD_06232014_sample4-A.raw,Condition4,4,4841267.498
sp|P31378|NTH1_YEAST,18.52681215,JD_06232014_sample1_B.raw,Condition1,1,377681.9078
sp|P31378|NTH1_YEAST,20.18818739,JD_06232014_sample1_C.raw,Condition1,1,1194675.514
sp|P31378|NTH1_YEAST,17.9979036,JD_06232014_sample1-A.raw,Condition1,1,261763.3516
sp|P31378|NTH1_YEAST,27.10819347,JD_06232014_sample2_A.raw,Condition2,2,144670293.6
sp|P31378|NTH1_YEAST,23.10081589,JD_06232014_sample2_B.raw,Condition2,2,8995773.4
sp|P31378|NTH1_YEAST,23.51671414,JD_06232014_sample2_C.raw,Condition2,2,12001522.83
sp|P31378|NTH1_YEAST,23.31073414,JD_06232014_sample3_A.raw,Condition3,3,10404715.2
sp|P31378|NTH1_YEAST,21.4351791,JD_06232014_sample3_B.raw,Condition3,3,2835514.494
sp|P31378|NTH1_YEAST,24.86249891,JD_06232014_sample3_C.raw,Condition3,3,30504080.55
sp|P31378|NTH1_YEAST,17.11855825,JD_06232014_sample4_B.raw,Condition4,4,142298.2358
sp|P31378|NTH1_YEAST,23.98493644,JD_06232014_sample4_C.raw,Condition4,4,16602952.01
sp|P31378|NTH1_YEAST,23.0275825,JD_06232014_sample4-A.raw,Condition4,4,8550530.493
sp|P31380|FUN30_YEAST,24.10614976,JD_06232014_sample1_B.raw,Condition1,1,18058187.49
sp|P31380|FUN30_YEAST,24.08736804,JD_06232014_sample1_C.raw,Condition1,1,17824620.68
sp|P31380|FUN30_YEAST,24.18820953,JD_06232014_sample1-A.raw,Condition1,1,19115101.57
sp|P31380|FUN30_YEAST,24.00154539,JD_06232014_sample2_A.raw,Condition2,2,16795197.09
sp|P31380|FUN30_YEAST,24.05080866,JD_06232014_sample2_B.raw,Condition2,2,17378601.58
sp|P31380|FUN30_YEAST,24.15911223,JD_06232014_sample2_C.raw,Condition2,2,18733436.38
sp|P31380|FUN30_YEAST,24.08284077,JD_06232014_sample3_A.raw,Condition3,3,17768773.55
sp|P31380|FUN30_YEAST,23.95971995,JD_06232014_sample3_B.raw,Condition3,3,16315274.79
sp|P31380|FUN30_YEAST,24.10199503,JD_06232014_sample3_C.raw,Condition3,3,18006257.62
sp|P31380|FUN30_YEAST,23.96772583,JD_06232014_sample4_B.raw,Condition4,4,16406064.05
sp|P31380|FUN30_YEAST,24.08244004,JD_06232014_sample4_C.raw,Condition4,4,17763838.69
sp|P31380|FUN30_YEAST,23.88484887,JD_06232014_sample4-A.raw,Condition4,4,15490161.72
sp|P31382|PMT2_YEAST,25.82380472,JD_06232014_sample1_B.raw,Condition1,1,59393623.67
sp|P31382|PMT2_YEAST,25.7636545,JD_06232014_sample1_C.raw,Condition1,1,56968240
sp|P31382|PMT2_YEAST,25.84226973,JD_06232014_sample1-A.raw,Condition1,1,60158686.42
sp|P31382|PMT2_YEAST,25.96541456,JD_06232014_sample2_A.raw,Condition2,2,65519207
sp|P31382|PMT2_YEAST,25.92837423,JD_06232014_sample2_B.raw,Condition2,2,63858451.34
sp|P31382|PMT2_YEAST,25.76088322,JD_06232014_sample2_C.raw,Condition2,2,56858914.47
sp|P31382|PMT2_YEAST,25.54937661,JD_06232014_sample3_A.raw,Condition3,3,49105340.87
sp|P31382|PMT2_YEAST,25.83596998,JD_06232014_sample3_B.raw,Condition3,3,59896566.96
sp|P31382|PMT2_YEAST,25.84947176,JD_06232014_sample3_C.raw,Condition3,3,60459753.45
sp|P31382|PMT2_YEAST,25.91050659,JD_06232014_sample4_B.raw,Condition4,4,63072447.86
sp|P31382|PMT2_YEAST,25.81280481,JD_06232014_sample4_C.raw,Condition4,4,58942495.64
sp|P31382|PMT2_YEAST,25.88394906,JD_06232014_sample4-A.raw,Condition4,4,61922014.01
sp|P31383|2AAA_YEAST,26.26272989,JD_06232014_sample1_B.raw,Condition1,1,80513640.65
sp|P31383|2AAA_YEAST,26.32920257,JD_06232014_sample1_C.raw,Condition1,1,84310125.44
sp|P31383|2AAA_YEAST,26.20408961,JD_06232014_sample1-A.raw,Condition1,1,77306672.73
sp|P31383|2AAA_YEAST,26.33317002,JD_06232014_sample2_A.raw,Condition2,2,84542299.64
sp|P31383|2AAA_YEAST,26.1828125,JD_06232014_sample2_B.raw,Condition2,2,76174907.12
sp|P31383|2AAA_YEAST,26.14874135,JD_06232014_sample2_C.raw,Condition2,2,74397012.32
sp|P31383|2AAA_YEAST,26.23388549,JD_06232014_sample3_A.raw,Condition3,3,78919883.47
sp|P31383|2AAA_YEAST,26.09409447,JD_06232014_sample3_B.raw,Condition3,3,71631681.36
sp|P31383|2AAA_YEAST,26.04899508,JD_06232014_sample3_C.raw,Condition3,3,69427076.18
sp|P31383|2AAA_YEAST,26.1446458,JD_06232014_sample4_B.raw,Condition4,4,74186112.16
sp|P31383|2AAA_YEAST,26.04539091,JD_06232014_sample4_C.raw,Condition4,4,69253848.52
sp|P31383|2AAA_YEAST,26.21847532,JD_06232014_sample4-A.raw,Condition4,4,78081385.66
sp|P31384|CCR4_YEAST,24.47864086,JD_06232014_sample1_B.raw,Condition1,1,23377881.45
sp|P31384|CCR4_YEAST,24.64108111,JD_06232014_sample1_C.raw,Condition1,1,26164024.05
sp|P31384|CCR4_YEAST,24.59550176,JD_06232014_sample1-A.raw,Condition1,1,25350339.98
sp|P31384|CCR4_YEAST,24.64021436,JD_06232014_sample2_A.raw,Condition2,2,26148309.81
sp|P31384|CCR4_YEAST,24.63450754,JD_06232014_sample2_B.raw,Condition2,2,26045080.13
sp|P31384|CCR4_YEAST,24.62246821,JD_06232014_sample2_C.raw,Condition2,2,25828637.58
sp|P31384|CCR4_YEAST,24.54365348,JD_06232014_sample3_A.raw,Condition3,3,24455463.63
sp|P31384|CCR4_YEAST,24.59277789,JD_06232014_sample3_B.raw,Condition3,3,25302522.61
sp|P31384|CCR4_YEAST,24.68932415,JD_06232014_sample3_C.raw,Condition3,3,27053729.4
sp|P31384|CCR4_YEAST,24.54144896,JD_06232014_sample4_B.raw,Condition4,4,24418122.83
sp|P31384|CCR4_YEAST,24.6972798,JD_06232014_sample4_C.raw,Condition4,4,27203327.57
sp|P31384|CCR4_YEAST,24.46214585,JD_06232014_sample4-A.raw,Condition4,4,23112113.37
sp|P31385|DEP1_YEAST,23.45335009,JD_06232014_sample1_B.raw,Condition1,1,11485816.56
sp|P31385|DEP1_YEAST,23.35540116,JD_06232014_sample1_C.raw,Condition1,1,10731892.41
sp|P31385|DEP1_YEAST,23.57160575,JD_06232014_sample1-A.raw,Condition1,1,12466954.56
sp|P31385|DEP1_YEAST,23.76000364,JD_06232014_sample2_A.raw,Condition2,2,14206064.85
sp|P31385|DEP1_YEAST,23.86270002,JD_06232014_sample2_B.raw,Condition2,2,15254166.54
sp|P31385|DEP1_YEAST,23.22751298,JD_06232014_sample2_C.raw,Condition2,2,9821507.026
sp|P31385|DEP1_YEAST,23.3890216,JD_06232014_sample3_A.raw,Condition3,3,10984924.36
sp|P31385|DEP1_YEAST,22.8832542,JD_06232014_sample3_B.raw,Condition3,3,7736524.632
sp|P31385|DEP1_YEAST,23.38789837,JD_06232014_sample3_C.raw,Condition3,3,10976375.23
sp|P31385|DEP1_YEAST,23.47625876,JD_06232014_sample4_B.raw,Condition4,4,11669656.5
sp|P31385|DEP1_YEAST,23.38458477,JD_06232014_sample4_C.raw,Condition4,4,10951193.48
sp|P31385|DEP1_YEAST,22.74491097,JD_06232014_sample4-A.raw,Condition4,4,7029111.796
sp|P31412|VATC_YEAST,26.05643899,JD_06232014_sample1_B.raw,Condition1,1,69786226.58
sp|P31412|VATC_YEAST,26.00944953,JD_06232014_sample1_C.raw,Condition1,1,67549864.04
sp|P31412|VATC_YEAST,26.1673959,JD_06232014_sample1-A.raw,Condition1,1,75365237.89
sp|P31412|VATC_YEAST,25.93293881,JD_06232014_sample2_A.raw,Condition2,2,64060814.7
sp|P31412|VATC_YEAST,26.24712746,JD_06232014_sample2_B.raw,Condition2,2,79647594.8
sp|P31412|VATC_YEAST,26.30334556,JD_06232014_sample2_C.raw,Condition2,2,82812519.88
sp|P31412|VATC_YEAST,26.05121847,JD_06232014_sample3_A.raw,Condition3,3,69534155.28
sp|P31412|VATC_YEAST,26.25070168,JD_06232014_sample3_B.raw,Condition3,3,79845163.2
sp|P31412|VATC_YEAST,26.32513269,JD_06232014_sample3_C.raw,Condition3,3,84072619.56
sp|P31412|VATC_YEAST,26.20391926,JD_06232014_sample4_B.raw,Condition4,4,77297545.08
sp|P31412|VATC_YEAST,26.27281384,JD_06232014_sample4_C.raw,Condition4,4,81078375.09
sp|P31412|VATC_YEAST,26.01639316,JD_06232014_sample4-A.raw,Condition4,4,67875762.31
sp|P31539|HS104_YEAST,27.23076969,JD_06232014_sample1_B.raw,Condition1,1,157499247
sp|P31539|HS104_YEAST,27.29304059,JD_06232014_sample1_C.raw,Condition1,1,164446218.2
sp|P31539|HS104_YEAST,27.28479624,JD_06232014_sample1-A.raw,Condition1,1,163509162.4
sp|P31539|HS104_YEAST,27.25617626,JD_06232014_sample2_A.raw,Condition2,2,160297452.8
sp|P31539|HS104_YEAST,27.25026174,JD_06232014_sample2_B.raw,Condition2,2,159641637.3
sp|P31539|HS104_YEAST,27.22052556,JD_06232014_sample2_C.raw,Condition2,2,156384854.8
sp|P31539|HS104_YEAST,27.15750008,JD_06232014_sample3_A.raw,Condition3,3,149700114.1
sp|P31539|HS104_YEAST,27.21262551,JD_06232014_sample3_B.raw,Condition3,3,155530847.8
sp|P31539|HS104_YEAST,27.18276164,JD_06232014_sample3_C.raw,Condition3,3,152344443.5
sp|P31539|HS104_YEAST,27.21870194,JD_06232014_sample4_B.raw,Condition4,4,156187303.5
sp|P31539|HS104_YEAST,27.21919009,JD_06232014_sample4_C.raw,Condition4,4,156240159.9
sp|P31539|HS104_YEAST,27.27782448,JD_06232014_sample4-A.raw,Condition4,4,162720917.7
sp|P31688|TPS2_YEAST,25.98419709,JD_06232014_sample1_B.raw,Condition1,1,66377782.13
sp|P31688|TPS2_YEAST,25.83946349,JD_06232014_sample1_C.raw,Condition1,1,60041783.25
sp|P31688|TPS2_YEAST,25.89858212,JD_06232014_sample1-A.raw,Condition1,1,62553276.59
sp|P31688|TPS2_YEAST,25.94574641,JD_06232014_sample2_A.raw,Condition2,2,64632049.73
sp|P31688|TPS2_YEAST,25.92947163,JD_06232014_sample2_B.raw,Condition2,2,63907044.37
sp|P31688|TPS2_YEAST,25.87849235,JD_06232014_sample2_C.raw,Condition2,2,61688248.54
sp|P31688|TPS2_YEAST,25.79655104,JD_06232014_sample3_A.raw,Condition3,3,58282161.19
sp|P31688|TPS2_YEAST,25.88559316,JD_06232014_sample3_B.raw,Condition3,3,61992620.76
sp|P31688|TPS2_YEAST,25.87248532,JD_06232014_sample3_C.raw,Condition3,3,61431927.73
sp|P31688|TPS2_YEAST,25.91837881,JD_06232014_sample4_B.raw,Condition4,4,63417550.12
sp|P31688|TPS2_YEAST,25.84009552,JD_06232014_sample4_C.raw,Condition4,4,60068092.7
sp|P31688|TPS2_YEAST,26.0646676,JD_06232014_sample4-A.raw,Condition4,4,70185399.23
sp|P31755|OCH1_YEAST,24.45741043,JD_06232014_sample1_B.raw,Condition1,1,23036375.85
sp|P31755|OCH1_YEAST,24.4177242,JD_06232014_sample1_C.raw,Condition1,1,22411318.62
sp|P31755|OCH1_YEAST,24.43744246,JD_06232014_sample1-A.raw,Condition1,1,22719731.67
sp|P31755|OCH1_YEAST,24.45530733,JD_06232014_sample2_A.raw,Condition2,2,23002818.86
sp|P31755|OCH1_YEAST,24.47800941,JD_06232014_sample2_B.raw,Condition2,2,23367651.47
sp|P31755|OCH1_YEAST,24.39236396,JD_06232014_sample2_C.raw,Condition2,2,22020806.32
sp|P31755|OCH1_YEAST,24.39744732,JD_06232014_sample3_A.raw,Condition3,3,22098533.85
sp|P31755|OCH1_YEAST,24.36315832,JD_06232014_sample3_B.raw,Condition3,3,21579503.26
sp|P31755|OCH1_YEAST,24.26123347,JD_06232014_sample3_C.raw,Condition3,3,20107543.01
sp|P31755|OCH1_YEAST,24.32401083,JD_06232014_sample4_B.raw,Condition4,4,21001817.23
sp|P31755|OCH1_YEAST,24.37479651,JD_06232014_sample4_C.raw,Condition4,4,21754288.7
sp|P31755|OCH1_YEAST,24.53443884,JD_06232014_sample4-A.raw,Condition4,4,24299761.87
sp|P31787|ACBP_YEAST,26.12058347,JD_06232014_sample1_B.raw,Condition1,1,72959043
sp|P31787|ACBP_YEAST,25.88964521,JD_06232014_sample1_C.raw,Condition1,1,62166982.14
sp|P31787|ACBP_YEAST,26.01187124,JD_06232014_sample1-A.raw,Condition1,1,67663348.56
sp|P31787|ACBP_YEAST,26.2783271,JD_06232014_sample2_A.raw,Condition2,2,81388808.94
sp|P31787|ACBP_YEAST,26.11421589,JD_06232014_sample2_B.raw,Condition2,2,72637735.44
sp|P31787|ACBP_YEAST,26.18709731,JD_06232014_sample2_C.raw,Condition2,2,76401483.19
sp|P31787|ACBP_YEAST,26.58290739,JD_06232014_sample3_A.raw,Condition3,3,100520003.8
sp|P31787|ACBP_YEAST,26.17680054,JD_06232014_sample3_B.raw,Condition3,3,75858133.58
sp|P31787|ACBP_YEAST,26.19104744,JD_06232014_sample3_C.raw,Condition3,3,76610958.74
sp|P31787|ACBP_YEAST,26.13806541,JD_06232014_sample4_B.raw,Condition4,4,73848506.57
sp|P31787|ACBP_YEAST,25.94072887,JD_06232014_sample4_C.raw,Condition4,4,64407656.77
sp|P31787|ACBP_YEAST,25.89926983,JD_06232014_sample4-A.raw,Condition4,4,62583101.86
sp|P32047|MLF3_YEAST,24.90881394,JD_06232014_sample1_B.raw,Condition1,1,31499245.58
sp|P32047|MLF3_YEAST,24.78399192,JD_06232014_sample1_C.raw,Condition1,1,28888499.2
sp|P32047|MLF3_YEAST,24.52629927,JD_06232014_sample1-A.raw,Condition1,1,24163050.57
sp|P32047|MLF3_YEAST,24.42882082,JD_06232014_sample2_A.raw,Condition2,2,22584361.95
sp|P32047|MLF3_YEAST,24.25203857,JD_06232014_sample2_B.raw,Condition2,2,19979796.73
sp|P32047|MLF3_YEAST,24.83782264,JD_06232014_sample2_C.raw,Condition2,2,29986766.76
sp|P32047|MLF3_YEAST,23.68700959,JD_06232014_sample3_A.raw,Condition3,3,13505180.54
sp|P32047|MLF3_YEAST,24.55404208,JD_06232014_sample3_B.raw,Condition3,3,24632198.79
sp|P32047|MLF3_YEAST,24.65149963,JD_06232014_sample3_C.raw,Condition3,3,26353653.21
sp|P32047|MLF3_YEAST,24.89322328,JD_06232014_sample4_B.raw,Condition4,4,31160677.82
sp|P32047|MLF3_YEAST,24.59422907,JD_06232014_sample4_C.raw,Condition4,4,25327986.75
sp|P32047|MLF3_YEAST,24.2851651,JD_06232014_sample4-A.raw,Condition4,4,20443871.6
sp|P32074|COPG_YEAST,26.67390117,JD_06232014_sample1_B.raw,Condition1,1,107064219.1
sp|P32074|COPG_YEAST,26.57102138,JD_06232014_sample1_C.raw,Condition1,1,99695246.34
sp|P32074|COPG_YEAST,26.58787248,JD_06232014_sample1-A.raw,Condition1,1,100866543.2
sp|P32074|COPG_YEAST,26.66391576,JD_06232014_sample2_A.raw,Condition2,2,106325747.7
sp|P32074|COPG_YEAST,26.61567125,JD_06232014_sample2_B.raw,Condition2,2,102828950
sp|P32074|COPG_YEAST,26.6048296,JD_06232014_sample2_C.raw,Condition2,2,102059101.2
sp|P32074|COPG_YEAST,26.45819845,JD_06232014_sample3_A.raw,Condition3,3,92195848.31
sp|P32074|COPG_YEAST,26.55368255,JD_06232014_sample3_B.raw,Condition3,3,98504244.15
sp|P32074|COPG_YEAST,26.60360658,JD_06232014_sample3_C.raw,Condition3,3,101972619
sp|P32074|COPG_YEAST,26.65930229,JD_06232014_sample4_B.raw,Condition4,4,105986280.9
sp|P32074|COPG_YEAST,26.48161437,JD_06232014_sample4_C.raw,Condition4,4,93704459.29
sp|P32074|COPG_YEAST,26.6192368,JD_06232014_sample4-A.raw,Condition4,4,103083401
sp|P32178|CHMU_YEAST,26.24702176,JD_06232014_sample1_B.raw,Condition1,1,79641759.58
sp|P32178|CHMU_YEAST,26.16517451,JD_06232014_sample1_C.raw,Condition1,1,75249283.54
sp|P32178|CHMU_YEAST,26.33654613,JD_06232014_sample1-A.raw,Condition1,1,84740372.22
sp|P32178|CHMU_YEAST,26.11930471,JD_06232014_sample2_A.raw,Condition2,2,72894403.02
sp|P32178|CHMU_YEAST,26.25646548,JD_06232014_sample2_B.raw,Condition2,2,80164795.61
sp|P32178|CHMU_YEAST,26.12694302,JD_06232014_sample2_C.raw,Condition2,2,73281363.95
sp|P32178|CHMU_YEAST,26.23223924,JD_06232014_sample3_A.raw,Condition3,3,78829879.86
sp|P32178|CHMU_YEAST,26.17810055,JD_06232014_sample3_B.raw,Condition3,3,75926520.01
sp|P32178|CHMU_YEAST,26.01246762,JD_06232014_sample3_C.raw,Condition3,3,67691324.96
sp|P32178|CHMU_YEAST,26.21388836,JD_06232014_sample4_B.raw,Condition4,4,77833524.95
sp|P32178|CHMU_YEAST,25.93258278,JD_06232014_sample4_C.raw,Condition4,4,64045007.64
sp|P32178|CHMU_YEAST,25.72713938,JD_06232014_sample4-A.raw,Condition4,4,55544448.11
sp|P32179|MET22_YEAST,25.17679781,JD_06232014_sample1_B.raw,Condition1,1,37928995.01
sp|P32179|MET22_YEAST,24.97505782,JD_06232014_sample1_C.raw,Condition1,1,32979308.65
sp|P32179|MET22_YEAST,25.1242098,JD_06232014_sample1-A.raw,Condition1,1,36571331.05
sp|P32179|MET22_YEAST,25.20643744,JD_06232014_sample2_A.raw,Condition2,2,38716291.7
sp|P32179|MET22_YEAST,25.10882646,JD_06232014_sample2_B.raw,Condition2,2,36183445.58
sp|P32179|MET22_YEAST,25.05850713,JD_06232014_sample2_C.raw,Condition2,2,34943169.33
sp|P32179|MET22_YEAST,25.18368472,JD_06232014_sample3_A.raw,Condition3,3,38110487.31
sp|P32179|MET22_YEAST,25.14002388,JD_06232014_sample3_B.raw,Condition3,3,36974412.29
sp|P32179|MET22_YEAST,25.15971504,JD_06232014_sample3_C.raw,Condition3,3,37482531.05
sp|P32179|MET22_YEAST,25.13211449,JD_06232014_sample4_B.raw,Condition4,4,36772259.47
sp|P32179|MET22_YEAST,25.09282993,JD_06232014_sample4_C.raw,Condition4,4,35784461.41
sp|P32179|MET22_YEAST,25.30515481,JD_06232014_sample4-A.raw,Condition4,4,41458219.13
sp|P32191|GPDM_YEAST,23.66925779,JD_06232014_sample1_B.raw,Condition1,1,13340022.74
sp|P32191|GPDM_YEAST,23.56508926,JD_06232014_sample1_C.raw,Condition1,1,12410769.73
sp|P32191|GPDM_YEAST,23.59745792,JD_06232014_sample1-A.raw,Condition1,1,12692368
sp|P32191|GPDM_YEAST,23.67854125,JD_06232014_sample2_A.raw,Condition2,2,13426139.95
sp|P32191|GPDM_YEAST,23.52331151,JD_06232014_sample2_B.raw,Condition2,2,12056530.85
sp|P32191|GPDM_YEAST,23.56182861,JD_06232014_sample2_C.raw,Condition2,2,12382751.69
sp|P32191|GPDM_YEAST,23.65412042,JD_06232014_sample3_A.raw,Condition3,3,13200785.29
sp|P32191|GPDM_YEAST,23.59078825,JD_06232014_sample3_B.raw,Condition3,3,12633825.81
sp|P32191|GPDM_YEAST,23.37064475,JD_06232014_sample3_C.raw,Condition3,3,10845887.31
sp|P32191|GPDM_YEAST,23.46886564,JD_06232014_sample4_B.raw,Condition4,4,11610008.08
sp|P32191|GPDM_YEAST,23.61174693,JD_06232014_sample4_C.raw,Condition4,4,12818702.72
sp|P32191|GPDM_YEAST,23.738423,JD_06232014_sample4-A.raw,Condition4,4,13995144.04
sp|P32259|MED16_YEAST,23.66211664,JD_06232014_sample1_B.raw,Condition1,1,13274154.54
sp|P32259|MED16_YEAST,23.61816981,JD_06232014_sample1_C.raw,Condition1,1,12875898.83
sp|P32259|MED16_YEAST,23.89830831,JD_06232014_sample1-A.raw,Condition1,1,15635351.42
sp|P32259|MED16_YEAST,24.06712227,JD_06232014_sample2_A.raw,Condition2,2,17576229.41
sp|P32259|MED16_YEAST,23.56617601,JD_06232014_sample2_B.raw,Condition2,2,12420122.01
sp|P32259|MED16_YEAST,23.85178226,JD_06232014_sample2_C.raw,Condition2,2,15139164.58
sp|P32259|MED16_YEAST,23.89429651,JD_06232014_sample3_A.raw,Condition3,3,15591933.53
sp|P32259|MED16_YEAST,23.5025282,JD_06232014_sample3_B.raw,Condition3,3,11884090.82
sp|P32259|MED16_YEAST,23.70142326,JD_06232014_sample3_C.raw,Condition3,3,13640784.29
sp|P32259|MED16_YEAST,23.69271122,JD_06232014_sample4_B.raw,Condition4,4,13558659.54
sp|P32259|MED16_YEAST,23.55917511,JD_06232014_sample4_C.raw,Condition4,4,12359997.45
sp|P32259|MED16_YEAST,23.6567574,JD_06232014_sample4-A.raw,Condition4,4,13224935.96
sp|P32263|P5CR_YEAST,28.171232,JD_06232014_sample1_B.raw,Condition1,1,302263597.4
sp|P32263|P5CR_YEAST,28.21695402,JD_06232014_sample1_C.raw,Condition1,1,311996373.7
sp|P32263|P5CR_YEAST,28.02741442,JD_06232014_sample1-A.raw,Condition1,1,273585100.1
sp|P32263|P5CR_YEAST,28.11717179,JD_06232014_sample2_A.raw,Condition2,2,291146854.2
sp|P32263|P5CR_YEAST,28.27298601,JD_06232014_sample2_B.raw,Condition2,2,324352206
sp|P32263|P5CR_YEAST,28.24955632,JD_06232014_sample2_C.raw,Condition2,2,319127196.1
sp|P32263|P5CR_YEAST,27.97510318,JD_06232014_sample3_A.raw,Condition3,3,263842764.6
sp|P32263|P5CR_YEAST,28.01481748,JD_06232014_sample3_B.raw,Condition3,3,271206681.4
sp|P32263|P5CR_YEAST,28.16409186,JD_06232014_sample3_C.raw,Condition3,3,300771339.9
sp|P32263|P5CR_YEAST,28.13656639,JD_06232014_sample4_B.raw,Condition4,4,295087259
sp|P32263|P5CR_YEAST,28.20081878,JD_06232014_sample4_C.raw,Condition4,4,308526416.6
sp|P32263|P5CR_YEAST,27.78343328,JD_06232014_sample4-A.raw,Condition4,4,231018521.4
sp|P32264|PROB_YEAST,25.6454731,JD_06232014_sample1_B.raw,Condition1,1,52487592.87
sp|P32264|PROB_YEAST,25.66181786,JD_06232014_sample1_C.raw,Condition1,1,53085623.08
sp|P32264|PROB_YEAST,25.67309624,JD_06232014_sample1-A.raw,Condition1,1,53502250.42
sp|P32264|PROB_YEAST,25.64025591,JD_06232014_sample2_A.raw,Condition2,2,52298125.8
sp|P32264|PROB_YEAST,25.59355791,JD_06232014_sample2_B.raw,Condition2,2,50632413.18
sp|P32264|PROB_YEAST,25.58641215,JD_06232014_sample2_C.raw,Condition2,2,50382247.68
sp|P32264|PROB_YEAST,25.7038006,JD_06232014_sample3_A.raw,Condition3,3,54653122.95
sp|P32264|PROB_YEAST,25.6410031,JD_06232014_sample3_B.raw,Condition3,3,52325218.68
sp|P32264|PROB_YEAST,25.71390049,JD_06232014_sample3_C.raw,Condition3,3,55037076.04
sp|P32264|PROB_YEAST,25.63122152,JD_06232014_sample4_B.raw,Condition4,4,51971649.76
sp|P32264|PROB_YEAST,25.71921078,JD_06232014_sample4_C.raw,Condition4,4,55240030.49
sp|P32264|PROB_YEAST,25.73596942,JD_06232014_sample4-A.raw,Condition4,4,55885451.37
sp|P32266|MGM1_YEAST,24.29295996,JD_06232014_sample1_B.raw,Condition1,1,20554628.48
sp|P32266|MGM1_YEAST,24.24030974,JD_06232014_sample1_C.raw,Condition1,1,19818023.36
sp|P32266|MGM1_YEAST,24.3460452,JD_06232014_sample1-A.raw,Condition1,1,21325041.3
sp|P32266|MGM1_YEAST,24.21834384,JD_06232014_sample2_A.raw,Condition2,2,19518567.51
sp|P32266|MGM1_YEAST,24.12157806,JD_06232014_sample2_B.raw,Condition2,2,18252339.53
sp|P32266|MGM1_YEAST,24.18229229,JD_06232014_sample2_C.raw,Condition2,2,19036861.19
sp|P32266|MGM1_YEAST,24.17209977,JD_06232014_sample3_A.raw,Condition3,3,18902841.33
sp|P32266|MGM1_YEAST,24.20431545,JD_06232014_sample3_B.raw,Condition3,3,19329693.82
sp|P32266|MGM1_YEAST,24.17704453,JD_06232014_sample3_C.raw,Condition3,3,18967740.97
sp|P32266|MGM1_YEAST,24.2969805,JD_06232014_sample4_B.raw,Condition4,4,20611990.54
sp|P32266|MGM1_YEAST,24.13783371,JD_06232014_sample4_C.raw,Condition4,4,18459161.82
sp|P32266|MGM1_YEAST,24.26309091,JD_06232014_sample4-A.raw,Condition4,4,20133447.73
sp|P32288|GLNA_YEAST,26.2777112,JD_06232014_sample1_B.raw,Condition1,1,81354070.71
sp|P32288|GLNA_YEAST,26.40753192,JD_06232014_sample1_C.raw,Condition1,1,89014184.9
sp|P32288|GLNA_YEAST,26.36289957,JD_06232014_sample1-A.raw,Condition1,1,86302533.14
sp|P32288|GLNA_YEAST,26.41039898,JD_06232014_sample2_A.raw,Condition2,2,89191258.2
sp|P32288|GLNA_YEAST,26.2671881,JD_06232014_sample2_B.raw,Condition2,2,80762828.37
sp|P32288|GLNA_YEAST,26.31815745,JD_06232014_sample2_C.raw,Condition2,2,83667120.61
sp|P32288|GLNA_YEAST,26.52676581,JD_06232014_sample3_A.raw,Condition3,3,96683462.83
sp|P32288|GLNA_YEAST,26.1316867,JD_06232014_sample3_B.raw,Condition3,3,73522714.66
sp|P32288|GLNA_YEAST,26.31733482,JD_06232014_sample3_C.raw,Condition3,3,83619426.91
sp|P32288|GLNA_YEAST,26.3542303,JD_06232014_sample4_B.raw,Condition4,4,85785489.34
sp|P32288|GLNA_YEAST,26.180094,JD_06232014_sample4_C.raw,Condition4,4,76031504.32
sp|P32288|GLNA_YEAST,26.27206667,JD_06232014_sample4-A.raw,Condition4,4,81036395.57
sp|P32316|ACH1_YEAST,24.78206188,JD_06232014_sample1_B.raw,Condition1,1,28849877.96
sp|P32316|ACH1_YEAST,24.33705524,JD_06232014_sample1_C.raw,Condition1,1,21192570.34
sp|P32316|ACH1_YEAST,24.73743239,JD_06232014_sample1-A.raw,Condition1,1,27971075.47
sp|P32316|ACH1_YEAST,24.82917319,JD_06232014_sample2_A.raw,Condition2,2,29807523.69
sp|P32316|ACH1_YEAST,24.68041705,JD_06232014_sample2_B.raw,Condition2,2,26887216.09
sp|P32316|ACH1_YEAST,24.4172323,JD_06232014_sample2_C.raw,Condition2,2,22403678.58
sp|P32316|ACH1_YEAST,24.94317142,JD_06232014_sample3_A.raw,Condition3,3,32258397.15
sp|P32316|ACH1_YEAST,24.49812395,JD_06232014_sample3_B.raw,Condition3,3,23695732.93
